seat_number,seat_name,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes
107,Satkhira 3,Hafez Muha: Rabiul Bashar,Bangladesh Jamaat-e-Islami (Jamaat),184233,Md. Shahidul Alam,Independent Candidate (Independent),105379
108,Satkhira 4,"G, M, Nazrul Islam",Bangladesh Jamaat-e-Islami (Jamaat),106913,Md. Moniruzzaman,Bangladesh Nationalist Party (BNP),85426
109,Barguna 1,Md. Ali Ullah,Islami Andolan Bangladesh (IAB),140291,Md. Nazrul Islam Mollah,Bangladesh Nationalist Party (BNP),136145
110,Barguna 2,Md. Nurul Islam,Bangladesh Nationalist Party (BNP),90643,Dr. Sultan Ahmad,Bangladesh Jamaat-e-Islami (Jamaat),85247
111,Patuakhali 1,Altaf Hossain Chowdhury,Bangladesh Nationalist Party (BNP),152087,Md Feroze Alam,Islami Andolan Bangladesh (IAB),58161
112,Patuakhali 2,Md. Shafiqul Islam,Bangladesh Jamaat-e-Islami (Jamaat),100750,Md. Sahidul Alam Talukder,Bangladesh Nationalist Party (BNP),72676
113,Patuakhali 3,Md. Nurul Haque,Gono Odhikar Parishad (GOP),97323,Md Hasan Mamun,Independent Candidate (Independent),81361
114,Patuakhali 4,ABM Mosharraf Hossain,Bangladesh Nationalist Party (BNP),124013,Mostafizur Rahman,Islami Andolan Bangladesh (IAB),70127
115,Bhola 1,Andaliv Rahman,Bangladesh Jatiya Party (BJP),105543,Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),75337
116,Bhola 2,Md. Hafiz Ibrahim,Bangladesh Nationalist Party (BNP),119085,Mohammad Fazlul Karim,Bangladesh Jamaat-e-Islami (Jamaat),93703
117,Bhola 3,Hafiz Uddin Ahmad Bir Bikram,Bangladesh Nationalist Party (BNP),145990,Muha: Nizamul Haque,Bangladesh Development Party (BDP),57351
118,Bhola 4,Mohammad Nurul Islam,Bangladesh Nationalist Party (BNP),189351,Mohammad Mustafa Kamal,Bangladesh Jamaat-e-Islami (Jamaat),81437
119,Barishal 1,Zahir Uddin Swapan,Bangladesh Nationalist Party (BNP),100522,Md. Kamrul Islam Khan,Bangladesh Jamaat-e-Islami (Jamaat),46263
120,Barishal 2,Sardar Sarfuddin Ahmed,Bangladesh Nationalist Party (BNP),141622,Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),74082
121,Barishal 3,Zainul Abedin,Bangladesh Nationalist Party (BNP),80930,Mohammad Asaduzzaman Bhuiyan,Amar Bangladesh Party (AB),61192
122,Barishal 4,Md. Rajib Ahsan,Bangladesh Nationalist Party (BNP),128322,Mohammad Abdul Jabbar,Bangladesh Jamaat-e-Islami (Jamaat),74684
123,Barishal 5,Md. Mujibur Rahman Sarwar,Bangladesh Nationalist Party (BNP),135146,Mufti Syed Md. Faizul Karim,Islami Andolan Bangladesh (IAB),95044
124,Barishal 6,Abul Hossain Khan,Bangladesh Nationalist Party (BNP),82217,Md. Mahmudunnabi,Bangladesh Jamaat-e-Islami (Jamaat),55988
125,Jhalokathi 1,Rafiqul Islam Jamal,Bangladesh Nationalist Party (BNP),62010,Faizul Haque,Bangladesh Jamaat-e-Islami (Jamaat),55120
126,Jhalokathi 2,Israt Sultana Ilein Bhutto,Bangladesh Nationalist Party (BNP),113419,SM Neyamul Karim,Bangladesh Jamaat-e-Islami (Jamaat),70556
127,Pirojpur 1,Masood Saidi,Bangladesh Jamaat-e-Islami (Jamaat),132659,Alamgir Hossain,Bangladesh Nationalist Party (BNP),107105
128,Pirojpur 2,Ahmad Sohail Manzoor,Bangladesh Nationalist Party (BNP),105185,Shamim Saidi,Bangladesh Jamaat-e-Islami (Jamaat),96897
129,Pirojpur 3,Md. Ruhul Amin Dulal,Bangladesh Nationalist Party (BNP),63791,Md. Shamim Hamidi,National Citizen Party (NCP),36616
130,Tangail 1,Fakir Mahbub Anam,Bangladesh Nationalist Party (BNP),153932,Muhammad Abdullah Kafi,Bangladesh Jamaat-e-Islami (Jamaat),94462
131,Tangail 2,Md. Abdus Salam Pintu,Bangladesh Nationalist Party (BNP),198213,Md. Humayun Kabir,Bangladesh Jamaat-e-Islami (Jamaat),60871
132,Tangail 3,Md. Lutfar Rahman Khan Azad,Independent Candidate (Independent),107901,SM Obaidul Haque,Bangladesh Nationalist Party (BNP),82769
133,Tangail 4,Md. Lutfar Rahman,Bangladesh Nationalist Party (BNP),105342,Abdul Latif Siddiqui,Independent Candidate (Independent),62509
134,Tangail 5,Sultan Saladin Tuku,Bangladesh Nationalist Party (BNP),131279,Ahsan Habib,Bangladesh Jamaat-e-Islami (Jamaat),80283
135,Tangail 6,Md Rabiul Awal,Bangladesh Nationalist Party (BNP),150952,"AK, M Abdul Hamid",Bangladesh Jamaat-e-Islami (Jamaat),91914
136,Tangail 7,Abul Kalam Azad Siddiqui,Bangladesh Nationalist Party (BNP),141253,Mohammad Abdullah ibn Abul Hossain,Bangladesh Jamaat-e-Islami (Jamaat),71040
137,Tangail 8,Ahmed Azam Khan,Bangladesh Nationalist Party (BNP),114217,Salahuddin Alamgir,Independent Candidate (Independent),77130
138,Jamalpur 1,M Rashiduzzaman Millat,Bangladesh Nationalist Party (BNP),173656,Muhammad Nazmul Haque Saeedee,Bangladesh Jamaat-e-Islami (Jamaat),97820
139,Jamalpur 2,"A, E, Sultan Mahmud Babu",Bangladesh Nationalist Party (BNP),95860,Md. Shamiul Haque,Bangladesh Jamaat-e-Islami (Jamaat),62434
140,Jamalpur 3,Md. Mostafizur Rahman Babul,Bangladesh Nationalist Party (BNP),207412,Md. Mujibur Rahman Azadi,Bangladesh Jamaat-e-Islami (Jamaat),81430
141,Jamalpur 4,Md. Faridul Kabir Talukder,Bangladesh Nationalist Party (BNP),147406,Mohammad Abdul Awal,Bangladesh Jamaat-e-Islami (Jamaat),44947
142,Jamalpur 5,Shah Md Waresh Ali Mamun,Bangladesh Nationalist Party (BNP),199344,Muhammad Abdus Sattar,Bangladesh Jamaat-e-Islami (Jamaat),113201
143,Sherpur 1,Md. Rashedul Islam Rashed,Bangladesh Jamaat-e-Islami (Jamaat),127811,Sansila Zebrin,Bangladesh Nationalist Party (BNP),78342
144,Sherpur 2,Mohammad Fahim Chowdhury,Bangladesh Nationalist Party (BNP),118472,Md Golam Kibria,Bangladesh Jamaat-e-Islami (Jamaat),108335
145,Sherpur 3,Md. Mahmudul Haque Rubel,Bangladesh Nationalist Party (BNP),0,Mohammad Nuruzzaman,Bangladesh Jamaat-e-Islami (Jamaat),0
146,Mymensingh 1,Mohammed Salman Omar,Independent Candidate (Independent),108265,Syed Imran Saleh,Bangladesh Nationalist Party (BNP),101926
147,Mymensingh 2,Muhammadullah,Bangladesh Khelafat Majlish (BKM),146202,Motahar Hossain Talukder,Bangladesh Nationalist Party (BNP),118438
148,Mymensingh 3,M Iqbal Hossain,Bangladesh Nationalist Party (BNP),75320,Ahmad Taibur Rahman,Independent Candidate (Independent),65995
149,Mymensingh 4,Md. Abu Wahab Akand Wahid,Bangladesh Nationalist Party (BNP),179668,Mohammad Kamrul Ahsan,Bangladesh Jamaat-e-Islami (Jamaat),171880
150,Mymensingh 5,Mohammad Zakir Hossain,Bangladesh Nationalist Party (BNP),128896,Md. Matiur Rahman Akand,Bangladesh Jamaat-e-Islami (Jamaat),102228
151,Mymensingh 6,Md. Kamrul Hasan,Bangladesh Jamaat-e-Islami (Jamaat),77325,Akhtar Sultana,Unique - Akhtar Sultana,53331
152,Mymensingh 7,Dr. Md. Mahabubur Rahman,Bangladesh Nationalist Party (BNP),99049,Md. Achaduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),84851
153,Mymensingh 8,Lutfullahel Majed,Bangladesh Nationalist Party (BNP),108685,Md. Aurangzeb Belal,Bangladesh Liberal Democratic Party (LDP),46515
154,Mymensingh 9,Yasser Khan Chowdhury,Bangladesh Nationalist Party (BNP),85761,AKM Anwarul Islam,Bangladesh Development Party (BDP),71168
155,Mymensingh 10,Mohammad Aktaruzzaman,Bangladesh Nationalist Party (BNP),75585,Abu Bakr Siddiqur Rahman,Independent Candidate (Independent),67013
156,Mymensingh 11,Fakhruddin Ahmed,Bangladesh Nationalist Party (BNP),111230,Muhammad Morshed Alam,Independent Candidate (Independent),66016
157,Netrakona 1,Barrister Kaiser Kamal,Bangladesh Nationalist Party (BNP),158343,Golam Rabbani,Bangladesh Khelafat Majlish (BKM),87488
158,Netrakona 2,Md. Anwarul Haque,Bangladesh Nationalist Party (BNP),171399,Md. Fahim Rahman Khan Pathan,National Citizen Party (NCP),67367
159,Netrakona 3,Rafiqul Islam Hilali,Bangladesh Nationalist Party (BNP),118469,Md Delwar Hossain Bhuya,Independent Candidate (Independent),68961
160,Netrakona 4,Md. Lutfuzzaman Babar,Bangladesh Nationalist Party (BNP),160801,Md. Al-Helal,Bangladesh Jamaat-e-Islami (Jamaat),39840
161,Netrakona 5,Machum Mustafa,Bangladesh Jamaat-e-Islami (Jamaat),82177,Md. Abu Taher Talukdar,Bangladesh Nationalist Party (BNP),79412
162,Kishoreganj 1,Mazharul Islam,Bangladesh Nationalist Party (BNP),124035,Hedayatullah Hadi,Bangladesh Khelafat Majlish (BKM),101132
163,Kishoreganj 2,Advocate Md. Jalal Uddin,Bangladesh Nationalist Party (BNP),143669,Md. Shafiqul Islam,Bangladesh Jamaat-e-Islami (Jamaat),120975
164,Kishoreganj 3,Dr. Muhammad Osman Farooq,Bangladesh Nationalist Party (BNP),112466,Jehad Khan,Bangladesh Jamaat-e-Islami (Jamaat),102476
