seat_name,division,district,party,candidate,votes
Chandpur 2,Chattogram,Chandpur,Bangladesh Republican Party (BRP),Md. Faijunnur,-
Chandpur 2,Chattogram,Chandpur,Gono Odhikar Parishad (GOP),Md. Golaf Hossain,-
Chandpur 2,Chattogram,Chandpur,Bangladesh Nationalist Party (BNP),Md. Jalal Uddin,172506.0
Chandpur 2,Chattogram,Chandpur,Bangladesh Labour Party,Nasima Nazneen Sarker,-
Chandpur 3,Chattogram,Chandpur,Bangladesh Islami Front (BIF),A. H. M. Ahsan Ullah,-
Chandpur 3,Chattogram,Chandpur,Communist Party of Bangladesh (CPB),Md. Jahangir Hossain,-
Chandpur 3,Chattogram,Chandpur,Islami Andolan Bangladesh (IAB),Md. Jaynal Abdin Shakh,-
Chandpur 3,Chattogram,Chandpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahjahan Miah,100865.0
Chandpur 3,Chattogram,Chandpur,Gono Odhikar Parishad (GOP),Md. Zakir Hossain,-
Chandpur 3,Chattogram,Chandpur,Gono Forum (GF),Salim Akbar,-
Chandpur 3,Chattogram,Chandpur,Bangladesh Nationalist Party (BNP),Sk Farid Ahmed,165404.0
Chandpur 4,Chattogram,Chandpur,Jatiya Party (JaPa),Mahmud Alam,-
Chandpur 4,Chattogram,Chandpur,Independent Candidate (Independent),Md. Abdul Hannan,74175.0
Chandpur 4,Chattogram,Chandpur,Bangladesh Islami Front (BIF),Md. Abdul Malek,-
Chandpur 4,Chattogram,Chandpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Billal Hossain Miaji,-
Chandpur 4,Chattogram,Chandpur,Bangladesh Nationalist Party (BNP),Md. Harunur Rashid,69155.0
Chandpur 4,Chattogram,Chandpur,Gono Forum (GF),Md. Munir Chowdhury,-
Chandpur 4,Chattogram,Chandpur,Islami Andolan Bangladesh (IAB),Mokbul Hossain,-
Chandpur 4,Chattogram,Chandpur,Independent Candidate (Independent),Zakir Hossain,-
Chandpur 5,Chattogram,Chandpur,Insaniyat Biplob Bangladesh (IBB),Md. Mahmud Hasan Nayan,-
Chandpur 5,Chattogram,Chandpur,Bangladesh Nationalist Party (BNP),Md. Maminul Haque,185404.0
Chandpur 5,Chattogram,Chandpur,Bangladesh Liberal Democratic Party (LDP),Md. Neamul Bashir,75660.0
Chandpur 5,Chattogram,Chandpur,Independent Candidate (Independent),Md. jakir Hossain Prodhania,-
Chandpur 5,Chattogram,Chandpur,Jatiya Party (JaPa),Mirza Gious Uddin,-
Chandpur 5,Chattogram,Chandpur,Islami Andolan Bangladesh (IAB),Mohammad Ali Patwary,-
Chandpur 5,Chattogram,Chandpur,Islamic Front Bangladesh (IFB),Sayed Bahadur Shah Mujaddedi,-
Chapainawabganj 1,Rajshahi,Chapainawabganj,Bangladesh Sangskritik Muktijote (BSM),Md. Abdul Halim,-
