seat_name,division,district,party,candidate,votes
Kishoreganj 2,Dhaka,Kishoreganj,Jatiya Party (JaPa),Md. Afzal Hussain Bhuyan,-
Kishoreganj 2,Dhaka,Kishoreganj,Independent Candidate (Independent),Md. Anisuzzaman Khokon,-
Kishoreganj 2,Dhaka,Kishoreganj,Bangladesh Nationalist Front (BNF),Md. Billal Hossain,-
Kishoreganj 2,Dhaka,Kishoreganj,Gono Odhikar Parishad (GOP),Md. Safiqul Islam,-
Kishoreganj 2,Dhaka,Kishoreganj,Bangladesh Jamaat-e-Islami (Jamaat),Mohammed Shafiqul Islam,120975.0
Kishoreganj 2,Dhaka,Kishoreganj,Independent Candidate (Independent),Nuruddin Ahmed,-
Kishoreganj 3,Dhaka,Kishoreganj,Independent Candidate (Independent),A.K.M. Alamgir,-
Kishoreganj 3,Dhaka,Kishoreganj,Democratic Party,Deluare Hossain Bhuiyan,-
Kishoreganj 3,Dhaka,Kishoreganj,Bangladesh Nationalist Party (BNP),Dr. Muhammad Osman Farruk,112466.0
Kishoreganj 3,Dhaka,Kishoreganj,Jatiya Party (JaPa),Md. Abu Bokor Siddique,-
Kishoreganj 3,Dhaka,Kishoreganj,Islami Andolan Bangladesh (IAB),Md. Alomgir Hossain,-
Kishoreganj 3,Dhaka,Kishoreganj,National People's Party (NPP),Mohammad Aminul Islam,-
Kishoreganj 3,Dhaka,Kishoreganj,Bangladesh Jamaat-e-Islami (Jamaat),Zehad Khan,102476.0
Kishoreganj 4,Dhaka,Kishoreganj,Islami Andolan Bangladesh (IAB),Billal Ahmed Majumder,-
Kishoreganj 4,Dhaka,Kishoreganj,Independent Candidate (Independent),Kazi Reha Kabir,-
Kishoreganj 4,Dhaka,Kishoreganj,Bangladesh Khelafat Majlish (BKM),Khairul Islam Thakur,-
Kishoreganj 4,Dhaka,Kishoreganj,Bangladesh Nationalist Party (BNP),Md. Fazlur Rahman,132472.0
Kishoreganj 4,Dhaka,Kishoreganj,National People's Party (NPP),Md. Joynal Abdin,-
Kishoreganj 4,Dhaka,Kishoreganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rokan Reza Sheikh,57829.0
Kishoreganj 4,Dhaka,Kishoreganj,Independent Candidate (Independent),Md. Shaheen Reza Chowdhury,-
Kishoreganj 4,Dhaka,Kishoreganj,Insaniyat Biplob Bangladesh (IBB),Nurul Islam,-
Kishoreganj 5,Dhaka,Kishoreganj,Independent Candidate (Independent),A.H.M. Quaiyum (Hasnat Quaiyum),-
Kishoreganj 5,Dhaka,Kishoreganj,Jatiya Party (JaPa),Md. Mahabobul Alam,-
Kishoreganj 5,Dhaka,Kishoreganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ramjan Ali,-
Kishoreganj 5,Dhaka,Kishoreganj,Bangladesh Muslim League (BML),Md. Sajjad Hossain,-
Kishoreganj 5,Dhaka,Kishoreganj,Bangladesh Islami Front (BIF),Md. Wali Ullah,-
Kishoreganj 5,Dhaka,Kishoreganj,Islami Andolan Bangladesh (IAB),Mohammad Delawar Hossain,-
Kishoreganj 5,Dhaka,Kishoreganj,Bangladesh Nationalist Party (BNP),Sayed Ehsanul Huda,66450.0
Kishoreganj 5,Dhaka,Kishoreganj,Independent Candidate (Independent),Sk Mozibur Rahman Iqbal,79604.0
Kishoreganj 6,Dhaka,Kishoreganj,Bangladesh Khelafat Majlish (BKM),Ataullah Amin,44095.0
Kishoreganj 6,Dhaka,Kishoreganj,Communist Party of Bangladesh (CPB),Dr. Mohammad Habil Mia,-
Kishoreganj 6,Dhaka,Kishoreganj,Bangladesh Islami Front (BIF),Md. Rubel Hossain,-
Kishoreganj 6,Dhaka,Kishoreganj,Bangladesh Nationalist Party (BNP),Md. Shariful Alam,187159.0
Kishoreganj 6,Dhaka,Kishoreganj,Jatiya Party (JaPa),Mohammed Ayub Hussain,-
Kishoreganj 6,Dhaka,Kishoreganj,Islami Andolan Bangladesh (IAB),Muhammed Musa Khan,-
Kishoreganj 6,Dhaka,Kishoreganj,Insaniyat Biplob Bangladesh (IBB),Naimul Hasan,-
Kishoreganj 6,Dhaka,Kishoreganj,National People's Party (NPP),Nazrul Islam,-
Kishoreganj 6,Dhaka,Kishoreganj,Gono Forum (GF),Shafi Uddin Ahmed,-
Kurigram 1,Rangpur,Kurigram,Jatiya Party (JaPa),A K M Mostafizur Rahman,-
Kurigram 1,Rangpur,Kurigram,Zaker Party (ZP),Md. Abdul Hye,-
Kurigram 1,Rangpur,Kurigram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwarul Islam,141090.0
Kurigram 1,Rangpur,Kurigram,Gono Odhikar Parishad (GOP),Md. Bin Yamin Mollah,-
Kurigram 1,Rangpur,Kurigram,Islami Andolan Bangladesh (IAB),Md. Haresul Bari,-
Kurigram 1,Rangpur,Kurigram,Bangladesh Nationalist Party (BNP),Saifur Rahman Rana,123025.0
Kurigram 2,Rangpur,Kurigram,National Citizen Party (NCP),Atiqur Rahman Mujahid,178869.0
Kurigram 2,Rangpur,Kurigram,Jatiya Party (JaPa),Md. Atiqur Rahman,-
Kurigram 2,Rangpur,Kurigram,Amar Bangladesh Party (AB),Md. Nazrul Islam Khan,-
Kurigram 2,Rangpur,Kurigram,Islami Andolan Bangladesh (IAB),Md. Nur Bakta Mian,-
Kurigram 2,Rangpur,Kurigram,Bangladesh Nationalist Party (BNP),Md. Sohel Hosnain Kaikobad,170335.0
Kurigram 2,Rangpur,Kurigram,Nagorik Oikya (NO),Muhammad Abdus Salam,-
Kurigram 2,Rangpur,Kurigram,Communist Party of Bangladesh (CPB),Noor Mohammad,-
Kurigram 2,Rangpur,Kurigram,Jatiya Party (JaPa),Panir Uddin Ahmed,-
Kurigram 3,Rangpur,Kurigram,Jatiya Party (JaPa),Abdus Sobhan,-
Kurigram 3,Rangpur,Kurigram,Islami Andolan Bangladesh (IAB),Dr. Md. Akkas Ali Sarkar,-
Kurigram 3,Rangpur,Kurigram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubul Alam,107930.0
Kurigram 3,Rangpur,Kurigram,Gono Odhikar Parishad (GOP),Sarker Md. Nure Ershad Siddiki,-
Kurigram 3,Rangpur,Kurigram,Bangladesh Nationalist Party (BNP),Tasvir Ul Islam,79352.0
Kurigram 4,Rangpur,Kurigram,Jatiya Party (JaPa),K. M. Fazlul Haque Mandul,-
Kurigram 4,Rangpur,Kurigram,Bangladesh Nationalist Party (BNP),Md. Azizur Rahman,84423.0
Kurigram 4,Rangpur,Kurigram,Islami Andolan Bangladesh (IAB),Md. Hafizur Rahman,-
Kurigram 4,Rangpur,Kurigram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafizur Rahman,108210.0
Kurigram 4,Rangpur,Kurigram,Independent Candidate (Independent),Md. Ruknuzzaman,-
Kurigram 4,Rangpur,Kurigram,Socialist Party of Bangladesh (Marxist) (SPB-M),Raju Ahmed,-
Kurigram 4,Rangpur,Kurigram,Bangladesh Samajtantrik Dal (Basad),Sheake Mohammad Abdul Khaleque,-
Kushtia 1,Khulna,Kushtia,Islami Andolan Bangladesh (IAB),Md. Aminul Islam,-
Kushtia 1,Khulna,Kushtia,Bangladesh Islami Front (BIF),Md. Badiruzzaman,-
Kushtia 1,Khulna,Kushtia,Jatiya Samajtantrik Dal-JASAD,Md. Gias Uddin,-
Kushtia 1,Khulna,Kushtia,Independent Candidate (Independent),Md. Nuruzzaman,-
Kushtia 1,Khulna,Kushtia,Gono Odhikar Parishad (GOP),Md. Sahabul Islam,-
Kushtia 1,Khulna,Kushtia,Jatiya Party (JaPa),Md. Shahriar Jamil,-
Kushtia 1,Khulna,Kushtia,Bangladesh Jamaat-e-Islami (Jamaat),Muhommad Belal Uddin,86682.0
Kushtia 1,Khulna,Kushtia,Bangladesh Nationalist Party (BNP),Reza Ahammed,165909.0
Kushtia 2,Khulna,Kushtia,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Gafur,192083.0
Kushtia 2,Khulna,Kushtia,Islamic Front Bangladesh (IFB),Md. Babul Aktar,-
Kushtia 2,Khulna,Kushtia,Islami Andolan Bangladesh (IAB),Muhammad Ali,-
Kushtia 2,Khulna,Kushtia,Communist Party of Bangladesh (CPB),Noor Uddin Ahmed,-
Kushtia 2,Khulna,Kushtia,Bangladesh Nationalist Party (BNP),Raghib Rauf Chowdhury,143821.0
Kushtia 3,Khulna,Kushtia,Islami Andolan Bangladesh (IAB),Md. Abdullah Akhunda,-
Kushtia 3,Khulna,Kushtia,Bangladesh Jamaat-e-Islami (Jamaat),Md. Amir Hamza,180690.0
Kushtia 3,Khulna,Kushtia,Bangladesh Nationalist Party (BNP),Md. Zakir Hossain Sarker,126909.0
Kushtia 3,Khulna,Kushtia,Bangladesh Samajtantrik Dal (Basad),Mir Najmul Islam,-
Kushtia 3,Khulna,Kushtia,Gono Odhikar Parishad (GOP),Mohd. Shariful Islam,-
Kushtia 3,Khulna,Kushtia,Bangladesh Republican Party (BRP),Mst Rumpa Khatun,-
Kushtia 4,Khulna,Kushtia,Islami Andolan Bangladesh (IAB),Anwar Khan,-
Kushtia 4,Khulna,Kushtia,Gono Forum (GF),Md. Abdul Hakim Miah,-
Kushtia 4,Khulna,Kushtia,Bangladesh Jamaat-e-Islami (Jamaat),Md. Afjal Hossain,148201.0
Kushtia 4,Khulna,Kushtia,Bangladesh Labour Party,Md. Sohidul Islam,-
Kushtia 4,Khulna,Kushtia,Bangladesh Nationalist Party (BNP),Syed Mehdi Ahmed Roomy,139603.0
Kushtia 4,Khulna,Kushtia,Bangladesh Minority Janata Party (BMJP),Tarun Kumar Ghosh,-
Lakshmipur 1,Chattogram,Lakshmipur,Nationalist Democratic Movement (NDM),Md. Alamgir Hossain,-
Lakshmipur 1,Chattogram,Lakshmipur,Bangladesh Samajtantrik Dal (Basad),Md. Billal Hossain,-
Lakshmipur 1,Chattogram,Lakshmipur,Gono Odhikar Parishad (GOP),Md. Kausar Alam,-
Lakshmipur 1,Chattogram,Lakshmipur,National Citizen Party (NCP),Md. Mahbub Alam,59265.0
Lakshmipur 1,Chattogram,Lakshmipur,Bangladesh Nationalist Party (BNP),Md. Shahadat Hossain,86811.0
Lakshmipur 1,Chattogram,Lakshmipur,Islami Andolan Bangladesh (IAB),Md. Zakir Hossain Patwary,-
Lakshmipur 1,Chattogram,Lakshmipur,Jatiya Party (JaPa),Mohammad Mahmudur Rahman Mahmud,-
Lakshmipur 2,Chattogram,Lakshmipur,Gono Odhikar Parishad (GOP),Abul Bashar,-
Lakshmipur 2,Chattogram,Lakshmipur,Islami Andolan Bangladesh (IAB),Helal Uddin,-
Lakshmipur 2,Chattogram,Lakshmipur,Bangladesh Nationalist Party (BNP),Md. Abul Khair Bhuiyan,146321.0
Lakshmipur 2,Chattogram,Lakshmipur,Bangladesh Kallyan Party (BKP),Md. Farhad Mia,-
Lakshmipur 2,Chattogram,Lakshmipur,Bangladesh Supreme Party (BSP),Md. Ibrahim Mia,-
Lakshmipur 2,Chattogram,Lakshmipur,Nagorik Oikya (NO),Mohammad Rezaul Karim,-
Lakshmipur 2,Chattogram,Lakshmipur,Bangladesh Jamaat-e-Islami (Jamaat),S. U. M Ruhul Amin Bhuiyan,133698.0
Lakshmipur 3,Chattogram,Lakshmipur,Jatiya Party (JaPa),A. K. M. Mohi Uddin,-
Lakshmipur 3,Chattogram,Lakshmipur,Islami Andolan Bangladesh (IAB),Md. Ibrahim,-
Lakshmipur 3,Chattogram,Lakshmipur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rezaul Karim,122802.0
Lakshmipur 3,Chattogram,Lakshmipur,Bangladesh Nationalist Party (BNP),Md. Shahiduddin Chowdhury Annie,135612.0
Lakshmipur 3,Chattogram,Lakshmipur,Bangladesh Liberal Democratic Party (LDP),Md. Shamsuddin,-
Lakshmipur 3,Chattogram,Lakshmipur,National People's Party (NPP),Salim Mahmud,-
Lakshmipur 4,Chattogram,Lakshmipur,Bangladesh Nationalist Party (BNP),A. B. M Ashraf Uddin (Nizan),115199.0
Lakshmipur 4,Chattogram,Lakshmipur,Independent Candidate (Independent),Anam Manzoor Morshed,-
Lakshmipur 4,Chattogram,Lakshmipur,Islami Andolan Bangladesh (IAB),Khaled Saifullah,-
Lakshmipur 4,Chattogram,Lakshmipur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ashrafur Rahman Hafizullah,73756.0
Lakshmipur 4,Chattogram,Lakshmipur,Gono Odhikar Parishad (GOP),Md. Redwan Ullah,-
Lakshmipur 4,Chattogram,Lakshmipur,Bangladesh Samajtantrik Dal (Basad),Milan Krishna Mandal,-
Lakshmipur 4,Chattogram,Lakshmipur,Independent Candidate (Independent),Nurul Huda Chowdhury,-
Lakshmipur 4,Chattogram,Lakshmipur,Independent Candidate (Independent),Sharaf Uddin Azad,-
Lakshmipur 4,Chattogram,Lakshmipur,Jatiya Samajtantrik Dal-JASAD,Tania Robb,-
Lalmonirhat 1,Rangpur,Lalmonirhat,Independent Candidate (Independent),Abu Sama Md. Redwanul Haque,-
Lalmonirhat 1,Rangpur,Lalmonirhat,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Habib Md. Farooq,-
Lalmonirhat 1,Rangpur,Lalmonirhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwarul Islam Raju,129572.0
Lalmonirhat 1,Rangpur,Lalmonirhat,Bangladesh Nationalist Party (BNP),Md. Hasan Rajib Prodhan,138686.0
Lalmonirhat 1,Rangpur,Lalmonirhat,Jatiya Party (JaPa),Md. Mashiur Rahman Ranga,-
Lalmonirhat 1,Rangpur,Lalmonirhat,Independent Candidate (Independent),Md. Rezaul Karim Sarkar,-
Lalmonirhat 1,Rangpur,Lalmonirhat,Bangladesh Labour Party,Md. Shuvo Ahmed,-
Lalmonirhat 1,Rangpur,Lalmonirhat,Islami Andolan Bangladesh (IAB),Muhammad Fazlul Karim Shaharia,-
Lalmonirhat 1,Rangpur,Lalmonirhat,Independent Candidate (Independent),Shihab Ahmed,-
Lalmonirhat 2,Rangpur,Lalmonirhat,Jatiya Party (JaPa),Md. Elahan Uddin,-
Lalmonirhat 2,Rangpur,Lalmonirhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Firoz Haider,117252.0
Lalmonirhat 2,Rangpur,Lalmonirhat,Islami Andolan Bangladesh (IAB),Md. Mahfuzur Rahman,-
Lalmonirhat 2,Rangpur,Lalmonirhat,Independent Candidate (Independent),Md. Momtaz Ali,-
Lalmonirhat 2,Rangpur,Lalmonirhat,Bangladesh Nationalist Party (BNP),Md. Rokon Uddin Babul,123946.0
Lalmonirhat 2,Rangpur,Lalmonirhat,Janotar Dol,Md. Shamim Kamal,-
Lalmonirhat 2,Rangpur,Lalmonirhat,Communist Party of Bangladesh (CPB),Nimai Chandra Roy,-
Lalmonirhat 3,Rangpur,Lalmonirhat,Bangladesh Nationalist Party (BNP),Asadul Habib Dulu,139651.0
Lalmonirhat 3,Rangpur,Lalmonirhat,Ganosanhati Andolan (GSA),Deepak Kumar Roy,-
Lalmonirhat 3,Rangpur,Lalmonirhat,Communist Party of Bangladesh (CPB),Madhu Sudan Roy,-
Lalmonirhat 3,Rangpur,Lalmonirhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Taher,56244.0
Lalmonirhat 3,Rangpur,Lalmonirhat,Islami Andolan Bangladesh (IAB),Md. Aminul Islam,-
Lalmonirhat 3,Rangpur,Lalmonirhat,Jatiya Party (JaPa),Md. Zahid Hasan,-
Madaripur 1,Dhaka,Madaripur,Communist Party of Bangladesh (CPB),Abdul Ali,-
Madaripur 1,Dhaka,Madaripur,Islami Andolan Bangladesh (IAB),Akram Hossain,-
Madaripur 1,Dhaka,Madaripur,Independent Candidate (Independent),Kamal Zaman Molla,-
Madaripur 1,Dhaka,Madaripur,Bangladesh Labour Party,Md. Hafizur Rahman,-
Madaripur 1,Dhaka,Madaripur,Independent Candidate (Independent),Md. Imran Hasan,-
Madaripur 1,Dhaka,Madaripur,Jatiya Party (JaPa),Mohammad Zahirul Islam Mintu,-
Madaripur 1,Dhaka,Madaripur,Bangladesh Nationalist Party (BNP),Nadira Akhter,64524.0
Madaripur 1,Dhaka,Madaripur,Gono Odhikar Parishad (GOP),Rajib Mollah,-
Madaripur 1,Dhaka,Madaripur,Independent Candidate (Independent),Sajjad Hossain Siddiqui,-
Madaripur 1,Dhaka,Madaripur,Bangladesh Khelafat Majlish (BKM),Sayed Uddin Ahmad Hanzala,64909.0
Madaripur 2,Dhaka,Madaripur,Bangladesh Khelafat Majlish (BKM),Abdus Sobahan,-
Madaripur 2,Dhaka,Madaripur,Islami Andolan Bangladesh (IAB),Ali Ahmad Chowdhury,-
Madaripur 2,Dhaka,Madaripur,Bangladesh Nationalist Party (BNP),Md. Jahandar Ali Mia,61744.0
Madaripur 2,Dhaka,Madaripur,Jatiya Party (JaPa),Md. Mohidul Islam,-
Madaripur 2,Dhaka,Madaripur,Independent Candidate (Independent),Md. Reazul Islam,-
Madaripur 2,Dhaka,Madaripur,Independent Candidate (Independent),Milton Baidya,46476.0
Madaripur 2,Dhaka,Madaripur,Socialist Party of Bangladesh (Marxist) (SPB-M),Mohammad Didar Hossain,-
Madaripur 2,Dhaka,Madaripur,Independent Candidate (Independent),Muha Kamrul Islam Sayeed,-
Madaripur 2,Dhaka,Madaripur,Independent Candidate (Independent),Shahidul Islam Khan,-
Madaripur 2,Dhaka,Madaripur,Bangladesh Kallyan Party (BKP),Subal Chandra Majumder,-
Madaripur 3,Dhaka,Madaripur,Bangladesh Samajtantrik Dal (Basad),Aminul Islam,-
Madaripur 3,Dhaka,Madaripur,Bangladesh Nationalist Party (BNP),Anisur Rahman,96188.0
Madaripur 3,Dhaka,Madaripur,Islami Andolan Bangladesh (IAB),Md. Azizul Haque,-
Madaripur 3,Dhaka,Madaripur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rafiqul Islam,84646.0
Madaripur 3,Dhaka,Madaripur,Bangladesh Supreme Party (BSP),Nitai Chakraborty,-
Magura 1,Khulna,Magura,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Matin,89691.0
Magura 1,Khulna,Magura,Bangladesh Congress,Kazi Rezaul Hossain,821.0
Magura 1,Khulna,Magura,Gono Odhikar Parishad (GOP),Md. Khalilur Rahman,292.0
Magura 1,Khulna,Magura,Bangladesh Nationalist Party (BNP),Md. Monowar Hossain,185338.0
Magura 1,Khulna,Magura,Islami Andolan Bangladesh (IAB),Md. Nazirul Islam,13414.0
Magura 1,Khulna,Magura,Jatiya Party (JaPa),Md. Zakir Hossain Mollah,1767.0
Magura 1,Khulna,Magura,Bangladesh Samajtantrik Dal (Basad),Shampa Basu,1237.0
Magura 2,Khulna,Magura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mushtarshed Billah,117018.0
Magura 2,Khulna,Magura,Jatiya Party (JaPa),Moshiar Rahman,2947.0
Magura 2,Khulna,Magura,Islami Andolan Bangladesh (IAB),Mustafa Kamal,16223.0
Magura 2,Khulna,Magura,Bangladesh Nationalist Party (BNP),Nitai Roy Chowdhury,147896.0
Manikganj 1,Dhaka,Manikganj,Bangladesh Jamaat-e-Islami (Jamaat),Abu Bakr Siddique,71310.0
Manikganj 1,Dhaka,Manikganj,Islami Andolan Bangladesh (IAB),Md. Khorshed Alam,3247.0
Manikganj 1,Dhaka,Manikganj,Independent Candidate (Independent),Md. Tozammel Haque,77818.0
Manikganj 1,Dhaka,Manikganj,Gono Odhikar Parishad (GOP),Mohammad Elias Hussain,1066.0
Manikganj 1,Dhaka,Manikganj,Janotar Dol,Mohammad Shahjahan Khan,283.0
Manikganj 1,Dhaka,Manikganj,Bangladesh Nationalist Party (BNP),S. A. Jinnah Kabir,137773.0
Manikganj 2,Dhaka,Manikganj,Khelafat Majlis,Md. Salauddin,81531.0
Manikganj 2,Dhaka,Manikganj,Bangladesh Nationalist Party (BNP),Moinul Islam Khan,175776.0
Manikganj 2,Dhaka,Manikganj,Islami Andolan Bangladesh (IAB),Muhammad Ali,3847.0
Manikganj 2,Dhaka,Manikganj,Jatiya Party (JaPa),S. M. Abdul Mannan,7081.0
Manikganj 3,Dhaka,Manikganj,Jatiya Party (JaPa),Abul Bashar Badhsha,-
Manikganj 3,Dhaka,Manikganj,Bangladesh Nationalist Party (BNP),Afroza Khanam,167345.0
Manikganj 3,Dhaka,Manikganj,Independent Candidate (Independent),Md. Ataur Rahman Ata,-
Manikganj 3,Dhaka,Manikganj,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Shahjahan Ali,-
Manikganj 3,Dhaka,Manikganj,Jatiya Party (JaPa),Moazzem Hossain Khan Majlish,-
Manikganj 3,Dhaka,Manikganj,Independent Candidate (Independent),Mofizul Islam Khan Kamal,-
Manikganj 3,Dhaka,Manikganj,Bangladesh Khelafat Majlish (BKM),Muhammad Saeed Noor,64242.0
Manikganj 3,Dhaka,Manikganj,Independent Candidate (Independent),Rafiqul Islam Khan,-
Manikganj 3,Dhaka,Manikganj,Islami Andolan Bangladesh (IAB),Shamsuddin,-
Meherpur 1,Khulna,Meherpur,Bangladesh Nationalist Party (BNP),Masud Arun,105441.0
Meherpur 1,Khulna,Meherpur,Jatiya Party (JaPa),Md. Abdul Hamid,-
Meherpur 1,Khulna,Meherpur,Communist Party of Bangladesh (CPB),Md. Mijanur Rahman,-
Meherpur 1,Khulna,Meherpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Tajuddin Khan,123271.0
Meherpur 2,Khulna,Meherpur,Jatiya Party (JaPa),Md. Abdul Baki,-
Meherpur 2,Khulna,Meherpur,Bangladesh Nationalist Party (BNP),Md. Amjad Hossain,85988.0
Meherpur 2,Khulna,Meherpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nazmul Huda,96306.0
Moulvibazar 1,Sylhet,Moulvibazar,Jatiya Party (JaPa),Ahmed Riaz Uddin,-
Moulvibazar 1,Sylhet,Moulvibazar,Independent Candidate (Independent),Belal Ahmed,-
Moulvibazar 1,Sylhet,Moulvibazar,Gono Odhikar Parishad (GOP),Md. Abdun Noor,-
Moulvibazar 1,Sylhet,Moulvibazar,Gono Front (GF),Md. Shariful Islam,-
Moulvibazar 1,Sylhet,Moulvibazar,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Aminul Islam,83013.0
Moulvibazar 1,Sylhet,Moulvibazar,Bangladesh Nationalist Party (BNP),Nasir Uddin Ahmed,98282.0
Moulvibazar 2,Sylhet,Moulvibazar,Islami Andolan Bangladesh (IAB),Abdul Quddus,-
Moulvibazar 2,Sylhet,Moulvibazar,Independent Candidate (Independent),M. Jimiur Rahman Chowdhury,-
Moulvibazar 2,Sylhet,Moulvibazar,Jatiya Party (JaPa),Md. Abdul Malik,-
Moulvibazar 2,Sylhet,Moulvibazar,Independent Candidate (Independent),Md. Fazlul Haque Khan,-
Moulvibazar 2,Sylhet,Moulvibazar,Bangladesh Jamaat-e-Islami (Jamaat),Md. Sayed Ali,53458.0
Moulvibazar 2,Sylhet,Moulvibazar,Bangladesh Nationalist Party (BNP),Md. Shawkatul Islam,88381.0
Moulvibazar 2,Sylhet,Moulvibazar,Independent Candidate (Independent),Nawab Ali Abbas Khan,-
Moulvibazar 2,Sylhet,Moulvibazar,Socialist Party of Bangladesh (Marxist) (SPB-M),Sadia Noshin Tasnim Chowdhury,-
Moulvibazar 3,Sylhet,Moulvibazar,Khelafat Majlis,Ahmed Bilal,-
Moulvibazar 3,Sylhet,Moulvibazar,Communist Party of Bangladesh (CPB),Jahar Lal Dutt,-
Moulvibazar 3,Sylhet,Moulvibazar,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Mannan,77636.0
Moulvibazar 3,Sylhet,Moulvibazar,Bangladesh Nationalist Party (BNP),Nasser Rahman,156757.0
Moulvibazar 4,Sylhet,Moulvibazar,Bangladesh Samajtantrik Dal (Basad),Md. Abul Hasan,-
Moulvibazar 4,Sylhet,Moulvibazar,Independent Candidate (Independent),Md. Mohsin Mia,-
Moulvibazar 4,Sylhet,Moulvibazar,Bangladesh Nationalist Party (BNP),Md. Mujibur Rahman Chowdhury,169608.0
Moulvibazar 4,Sylhet,Moulvibazar,Jatiya Party (JaPa),Mohammad Zarif Hossain,-
Moulvibazar 4,Sylhet,Moulvibazar,National Citizen Party (NCP),Pritam Das,-
Moulvibazar 4,Sylhet,Moulvibazar,Bangladesh Khelafat Majlish (BKM),Sheikh Noor-e-Alam Hamidi,49189.0
Munshiganj 1,Dhaka,Munshiganj,Bangladesh Jamaat-e-Islami (Jamaat),AKM Fakhruddin Raji,101568.0
Munshiganj 1,Dhaka,Munshiganj,Communist Party of Bangladesh (CPB),Abdur Rahman,-
Munshiganj 1,Dhaka,Munshiganj,Bangladesh Nationalist Party (BNP),Md. Abdullah,167562.0
Munshiganj 1,Dhaka,Munshiganj,Islami Andolan Bangladesh (IAB),Md. Atiqur Rahman Khan,-
Munshiganj 1,Dhaka,Munshiganj,Independent Candidate (Independent),Mohammad Momin Ali,-
Munshiganj 1,Dhaka,Munshiganj,Insaniyat Biplob Bangladesh (IBB),Rokeya Akhtar,-
Munshiganj 2,Dhaka,Munshiganj,Bangladesh Nationalist Party (BNP),Abdus Salam Azad,121154.0
Munshiganj 2,Dhaka,Munshiganj,Islamic Front Bangladesh (IFB),Ashiq Mahmud,-
Munshiganj 2,Dhaka,Munshiganj,Islami Andolan Bangladesh (IAB),K. M. Billal,-
Munshiganj 2,Dhaka,Munshiganj,National Citizen Party (NCP),Majedul Islam,58573.0
Munshiganj 2,Dhaka,Munshiganj,Jatiya Party (JaPa),Md. Noman Mia,-
Munshiganj 3,Dhaka,Munshiganj,Bangladesh Labour Party,Anis Molla,-
Munshiganj 3,Dhaka,Munshiganj,Jatiya Party (JaPa),Md. Arifuzzaman (Didar),-
Munshiganj 3,Dhaka,Munshiganj,Bangladesh Nationalist Party (BNP),Md. Kamruzzaman,124691.0
Munshiganj 3,Dhaka,Munshiganj,Independent Candidate (Independent),Md. Mohiuddin,88936.0
Munshiganj 3,Dhaka,Munshiganj,Bangladesh Khelafat Majlish (BKM),Noor Hossain Noorani,-
Munshiganj 3,Dhaka,Munshiganj,Communist Party of Bangladesh (CPB),Sheikh Md. Kamal Hossain,-
Munshiganj 3,Dhaka,Munshiganj,Revolutionary Workers Party of Bangladesh (RWPB),Sheikh Md. Shimul,-
Munshiganj 3,Dhaka,Munshiganj,Islami Andolan Bangladesh (IAB),Suman Dewan,-
Mymensingh 1,Mymensingh,Mymensingh,Communist Party of Bangladesh (CPB),Azharul Islam,-
Mymensingh 1,Mymensingh,Mymensingh,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. A. Razzaq,-
Mymensingh 1,Mymensingh,Mymensingh,Bangladesh Khelafat Majlish (BKM),Md. Tajul Islam,-
Mymensingh 1,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Md. Zillur Rahman,-
Mymensingh 1,Mymensingh,Mymensingh,Independent Candidate (Independent),Mohammad Salman Omar,108265.0
Mymensingh 1,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Syed Imran Saleh,101926.0
Mymensingh 2,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Golam Maula Bhuiyan,-
Mymensingh 2,Mymensingh,Mymensingh,Jatiya Party (JaPa),Md. Emdadul Haque Khan,-
Mymensingh 2,Mymensingh,Mymensingh,Bangladesh Supreme Party (BSP),Md. Julhas Uddin Sheikh,-
Mymensingh 2,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Motahar Hossain Talukder,118438.0
Mymensingh 2,Mymensingh,Mymensingh,Independent Candidate (Independent),Muhammad Abu Bakr Siddique,-
