seat_name,party,candidate,votes
Kurigram 1,Zaker Party (ZP),Md. Abdul Hai,0
Kurigram 1,Gono Odhikar Parishad (GOP),Md. Bin Yamin Molla,0
Kurigram 2,National Citizen Party (NCP),Atikur Rahman Mojahid,179786
Kurigram 2,Bangladesh Nationalist Party (BNP),Md. Sohel Hosnain Kaikobad,169386
Kurigram 2,Communist Party of Bangladesh (CPB),Nur Mohammad,0
Kurigram 2,Jatiya Party (JaPa),Panir Uddin Ahmed,0
Kurigram 2,Nagorik Oikya (NO),Muhammad Abdus Salam,0
Kurigram 2,Bangladesh Jatiya Party (BJP),Md. Atikur Rahman,0
Kurigram 2,Amar Bangladesh Party (AB),Md. Nazrul Islam Khan,0
Kurigram 2,Islami Andolan Bangladesh (IAB),Md. Nur Bakht,0
Kurigram 2,Independent Candidate (Independent),Md. Safiur Rahman,0
Kurigram 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubul Alam,105594
Kurigram 3,Bangladesh Nationalist Party (BNP),Tasvir Ul Islam,77963
Kurigram 3,Jatiya Party (JaPa),Abdus Sobhan,0
Kurigram 3,Islami Andolan Bangladesh (IAB),Dr. Md. Akkas Ali Sarkar,0
Kurigram 3,Jatiya Party (JaPa),Md. Safiur Rahman,0
Kurigram 3,Gono Odhikar Parishad (GOP),Sarkar Md. Nur-e-Ershad Siddiqui,0
Kurigram 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafizur Rahman,78943
Kurigram 4,Bangladesh Nationalist Party (BNP),Md. Azizur Rahman,57947
Kurigram 4,Jatiya Party (JaPa),K. M. Fazlul Mondol,0
Kurigram 4,Independent Candidate (Independent),Md. Rukunuzzaman,0
Kurigram 4,Islami Andolan Bangladesh (IAB),Md. Hafizur Rahman,0
Kurigram 4,Bangladesh Socialist Party (Marxist),Raju Ahmed,0
Kurigram 4,Bangladesh Socialist Party (BASAD),Sheikh Mohammad Abdul Khaleq,0
Gaibandha 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Majedur Rahman,114595
Gaibandha 1,Bangladesh Nationalist Party (BNP),Khandaker Ziaul Islam Mohammad Ali,28771
Gaibandha 1,Jatiya Party (JaPa),Shamim Haider Patowary,25523
Gaibandha 1,Jatiya Party (JaPa),Md. Mostafa Mohsin,20495
Gaibandha 1,Islami Andolan Bangladesh (IAB),Md. Ramzan Ali,1557
Gaibandha 1,Bangladesh Socialist Party (Marxist),Paramananda Das,305
Gaibandha 1,Jatiya Party (JaPa),Mosammat Salma Akter,282
Gaibandha 1,Am Janata Party,Md. Kawsar Azam Hannu,141
Gaibandha 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Karim,121073
Gaibandha 2,Bangladesh Nationalist Party (BNP),Md. Anisuzzaman Khan Babu,92180
Gaibandha 2,Jatiya Party (JaPa),Md. Abdur Rashid Sarkar,21143
Gaibandha 2,Islami Andolan Bangladesh (IAB),Mohammad Abdul Majed,2351
Gaibandha 2,Communist Party of Bangladesh (CPB),Mihir Kumar Ghosh,2318
Gaibandha 2,Bangladesh Socialist Party (Marxist),Ahsanul Habib Sayeed,620
Gaibandha 2,Janata Party,Md. Shahedur Jahan,196
Gaibandha 3,Bangladesh Jamaat-e-Islami (Jamaat),Abul Kawsar Mohammad Nazrul Islam,85816
Gaibandha 3,Bangladesh Nationalist Party (BNP),Professor Dr. Syed Moinul Hasan Sadiq,55500
Gaibandha 3,Islami Andolan Bangladesh (IAB),Md. A. T. M. Awlad Hossain,1246
Gaibandha 3,Gono Odhikar Parishad (GOP),Md. Suruj Mia,995
Gaibandha 3,Jatiya Party (JaPa),Moinur Rabbi Chowdhury,904
Gaibandha 3,Jatiya Party (JaPa),Md. Azizur Rahman,588
Gaibandha 3,Communist Party of Bangladesh (CPB),Md. Abdullah Adil,298
Gaibandha 3,Jatiya Party (JaPa),S. M. Khademul Islam Khudi,265
Gaibandha 3,Janata Party,Md. Manjurul Haque,71
Gaibandha 3,Jatiya Party (JaPa),Md. Mosaddiqul Islam,49
Gaibandha 4,Bangladesh Nationalist Party (BNP),Mohammad Shamim Kaisar,72727
Gaibandha 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdur Rahim Sarkar,63379
Gaibandha 4,Jatiya Party (JaPa),Kazi Md. Mashiur Rahman,1174
Gaibandha 4,Jatiya Party (JaPa),Md. Abdur Rauf Akand,777
Gaibandha 4,Islami Andolan Bangladesh (IAB),Syed Touhidul Islam Tuhin,710
Gaibandha 4,Revolutionary Workers Party of Bangladesh (RWPB),Md. Atowarul Islam,98
Gaibandha 5,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Waresh,99378
Gaibandha 5,Bangladesh Nationalist Party (BNP),Md. Faruk Alam Sarkar,61525
Gaibandha 5,Jatiya Party (JaPa),Nahiduzzaman Nishad,33036
Gaibandha 5,Independent Candidate (Independent),A. H. M. Golam Shahid Ranjhu,8266
Gaibandha 5,Jatiya Party (JaPa),Shamim Haider Patowary,3102
Gaibandha 5,Islami Andolan Bangladesh (IAB),Md. Azizul Islam,1839
Gaibandha 5,Jatiya Party (JaPa),Hasan Mehdi Bidyut,464
Gaibandha 5,Communist Party of Bangladesh (CPB),Sri Nirmal,434
Gaibandha 5,Bangladesh Socialist Party (Marxist),Mosammat Rahela Khatun,217
Jamalpur 1,Bangladesh Nationalist Party (BNP),M. Rashiduzzaman Millat,172115
Jamalpur 1,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Nazmul Haque Saeedi,93661
Jamalpur 1,Jatiya Party (JaPa),A. K. M. Fazlul Haque,0
Jamalpur 1,Islami Andolan Bangladesh (IAB),Md. Abdur Rauf Talukdar,0
Jamalpur 1,Gono Odhikar Parishad (GOP),Md. Rafiqul Islam,0
Jamalpur 2,Bangladesh Nationalist Party (BNP),A. I. Sultan Mahmud Babu,95860
Jamalpur 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Samiul Haque,62434
Jamalpur 2,Islami Andolan Bangladesh (IAB),Sultan Mahmud,1713
Jamalpur 2,Independent Candidate (Independent),Arnob Wares Khan,174
Jamalpur 3,Bangladesh Nationalist Party (BNP),Md. Mostafizur Rahman Babul,207412
Jamalpur 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mujibur Rahman Azadi,81430
Jamalpur 3,Independent Candidate (Independent),Md. Sadikur Rahman,12052
Jamalpur 3,Independent Candidate (Independent),Shiblul Bari Raju,10523
Jamalpur 3,Islami Andolan Bangladesh (IAB),Mohammad Daulatuzzaman Ansari,2546
Jamalpur 3,Jatiya Party (JaPa),Mir Shamsul Alam,844
Jamalpur 3,Ganosanhati Andolan (GSA),Fidel Naim,643
Jamalpur 3,Gono Odhikar Parishad (GOP),Liton Mia,412
Jamalpur 3,Jatiya Party (JaPa),Farzana Farid,284
Jamalpur 4,Bangladesh Nationalist Party (BNP),Md. Faridul Kabir Talukdar,147406
Jamalpur 4,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Abdul Awal,44947
Jamalpur 4,Communist Party of Bangladesh (CPB),Md. Mahbub Zaman Jewel,1314
Jamalpur 4,Islami Andolan Bangladesh (IAB),Md. Ali Akbar,1302
Jamalpur 4,Gono Odhikar Parishad (GOP),Md. Iqbal Hossain,383
Jamalpur 4,Nagorik Oikya (NO),Md. Kabir Hasan,379
Jamalpur 5,Bangladesh Nationalist Party (BNP),Shah Md. Waresh Ali Mamun,199344
Jamalpur 5,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Abdus Sattar,113201
Jamalpur 5,Islami Andolan Bangladesh (IAB),Syed Yunus Ahmed,4282
Jamalpur 5,Jatiya Party (JaPa),Md. Babar Ali Khan,3739
Jamalpur 5,Jatiya Samajtantrik Dal (JSD),Md. Amir Uddin,580
Jamalpur 5,Communist Party of Bangladesh (CPB),Sheikh Md. Akkas Ali,547
Jamalpur 5,Gono Odhikar Parishad (GOP),Zakir Hossain,539
Jamalpur 5,Bangladesh Congress,Abu Sayeem Mohammad Sa’adat-ul Karim,225
Sherpur 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rashedul Islam Rashed,127811
Sherpur 1,Bangladesh Nationalist Party (BNP),Sansila Zebrin,78342
Sherpur 1,Independent Candidate (Independent),Md. Shafiqul Islam Masud,62415
Sherpur 1,Jatiya Party (JaPa),Md. Mahmudul Haque Moni,751
Sherpur 1,National Citizen Party (NCP),Md. Likhon Mia,456
Sherpur 1,Independent Candidate (Independent),Md. Ilias Uddin,205
Sherpur 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Kibria,118472
Sherpur 2,Bangladesh Nationalist Party (BNP),Mohammad Fahim Chowdhury,108335
Sherpur 2,Islami Andolan Bangladesh (IAB),Md. Abdullah Al Qayes,4877
Sherpur 2,Amar Bangladesh Party (AB),Md. Abdullah,1038
Sherpur 3,Islami Andolan Bangladesh (IAB),Abu Taleb Md. Saifuddin,0
Sherpur 3,Independent Candidate (Independent),Md. Aminul Islam,0
Sherpur 3,Bangladesh Nationalist Party (BNP),Md. Mahmudul Haque Rubel,0
Sherpur 3,Bangladesh Socialist Party (Marxist),Md. Mizanur Rahman,0
Sherpur 3,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Nuruzzaman,0
Mymensingh 1,Independent Candidate (Independent),Mohammad Salman Omar,108265
Mymensingh 1,Bangladesh Nationalist Party (BNP),Syed Emran Saleh,101926
Mymensingh 1,Bangladesh Khelafat Majlish (BKM),Md. Tajul Islam,53222
Mymensingh 1,Islami Andolan Bangladesh (IAB),Md. Jillur Rahman,3125
Mymensingh 1,Bangladesh Labour Party,Mohammad Rashedul Haque,274
Mymensingh 1,Bangladesh Socialist Party (Marxist),Md. A. Razzak,224
Mymensingh 1,Communist Party of Bangladesh (CPB),Azharul Islam,174
Mymensingh 2,Bangladesh Khelafat Majlish (BKM),Mohammadullah,146202
Mymensingh 2,Bangladesh Nationalist Party (BNP),Motahar Hossain Talukder,118438
Mymensingh 2,Independent Candidate (Independent),Shah Shahid Sarwar,48874
Mymensingh 2,Islami Andolan Bangladesh (IAB),Golam Mawla Bhuiyan,3857
Mymensingh 2,Bangladesh Supreme Party (BSP),Md. Julhas Uddin Sheikh,1071
Mymensingh 2,Jatiya Party (JaPa),Md. Emdadul Haque Khan,725
Mymensingh 2,Independent Candidate (Independent),Mohammad Abu Bakar Siddique,494
Mymensingh 3,Independent Candidate (Independent),Ahmed Taiebur Rahman,85995
Mymensingh 3,Bangladesh Nationalist Party (BNP),M. Iqbal Hossain,75320
Mymensingh 3,Bangladesh Nezam-e-Islam Party,Md. Abu Taher Khan,25706
Mymensingh 3,Islami Andolan Bangladesh (IAB),Md. Shariful Islam,2745
Mymensingh 3,Bangladesh Socialist Party (Marxist),A. K. M. Ariful Hasan,354
Mymensingh 4,Bangladesh Nationalist Party (BNP),Md. Abu Wahab Akand Wahid,179668
Mymensingh 4,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Kamrul Ahsan,171880
Mymensingh 4,Islami Andolan Bangladesh (IAB),Md. Nasir Uddin,8701
Mymensingh 4,Jatiya Party (JaPa),Abu Md. Musa Sarkar,3845
Mymensingh 4,Communist Party of Bangladesh (CPB),Emdadul Haque Millat,1397
Mymensingh 4,Bangladesh Supreme Party (BSP),Md. Liaqat Ali,892
Mymensingh 4,Bangladesh Socialist Party (Marxist),Shekhar Kumar Roy,740
Mymensingh 4,Ganosanhati Andolan (GSA),Mostafizur Rahman,456
Mymensingh 4,National People's Party (NPP),Md. Hamidul Islam,373
Mymensingh 5,Bangladesh Jamaat-e-Islami (Jamaat),Md. Matiur Rahman Akand,102228
Mymensingh 5,Bangladesh Nationalist Party (BNP),Mohammad Zakir Hossain,7926
Mymensingh 5,Islami Andolan Bangladesh (IAB),Mohammad Sirajul Islam,3648
Mymensingh 5,Ganosanhati Andolan (GSA),Mohammad Nazrul Islam,815
Mymensingh 5,Amar Bangladesh Party (AB),Md. Rafiqul Islam,348
Mymensingh 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Kamrul Hasan,77325
Mymensingh 6,Independent Candidate (Independent),Akhtar Sultana,53331
Mymensingh 6,Independent Candidate (Independent),Professor Md. Jasim Uddin,51970
Mymensingh 6,Bangladesh Nationalist Party (BNP),Md. Akhtarul Alam,49475
Mymensingh 6,Islami Andolan Bangladesh (IAB),Md. Nure Alam Siddique,1967
Mymensingh 7,Bangladesh Nationalist Party (BNP),Dr. Md. Mahabubur Rahman,99049
Mymensingh 7,Bangladesh Jamaat-e-Islami (Jamaat),Md. Asaduzzaman,84851
Mymensingh 7,Independent Candidate (Independent),Mohammad Anwar Sadat,33328
Mymensingh 7,Islami Andolan Bangladesh (IAB),Md. Ibrahim Khalilullah,4058
Mymensingh 7,Independent Candidate (Independent),Md. Zainal Abedin,1044
Mymensingh 7,Jatiya Party (JaPa),Md. Jahirul Islam,579
Mymensingh 8,Bangladesh Nationalist Party (BNP),Lutfullah-el-Mazed,107577
Mymensingh 8,Liberal Democratic Party (LDP),Md. Aurangzeb Belal,45791
Mymensingh 8,Islami Andolan Bangladesh (IAB),Shah Nurul Kabir,32734
Mymensingh 8,Jatiya Party (JaPa),Fakhrul Imam,1719
Mymensingh 9,Bangladesh Nationalist Party (BNP),Yaser Khan Chowdhury,85761
Mymensingh 9,Bangladesh Development Party,A. K. M. Anwarul Islam,71168
Mymensingh 9,Independent Candidate (Independent),Hasina Khan Chowdhury,30509
Mymensingh 9,Islami Andolan Bangladesh (IAB),Md. Saeedur Rahman,5596
Mymensingh 9,Jatiya Party (JaPa),Hasmat Mahmud,798
Mymensingh 9,Gono Forum (GF),Md. Latiful Bari (Hamim),252
Mymensingh 10,Bangladesh Nationalist Party (BNP),Mohammad Akhtaruzzaman,75585
Mymensingh 10,Independent Candidate (Independent),Abu Bakar Siddiqur Rahman,67013
Mymensingh 10,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ismail,66063
Mymensingh 10,Islami Andolan Bangladesh (IAB),Md. Habibullah Belali,2504
Mymensingh 10,Independent Candidate (Independent),Md. Matiur Rahman,386
Mymensingh 10,Jatiya Party (JaPa),Md. Al Amin (Sohan),369
Mymensingh 10,Ganosanhati Andolan (GSA),A. K. M. Shamsul Alam,364
Mymensingh 10,Liberal Democratic Party (LDP),Syed Mahmud Morshed,322
Mymensingh 10,Communist Party of Bangladesh (CPB),Md. Saifus Salehin,299
Mymensingh 11,Bangladesh Nationalist Party (BNP),Fakhr Uddin Ahmed,111230
Mymensingh 11,Independent Candidate (Independent),Mohammad Morshed Alam,66016
Mymensingh 11,National Citizen Party (NCP),Zahidul Islam,22195
Mymensingh 11,Gono Odhikar Parishad (GOP),Mohammad Anwarul Islam,1855
Mymensingh 11,Islami Andolan Bangladesh (IAB),Md. Mostafa Kamal,391
Netrakona 1,Bangladesh Nationalist Party (BNP),Barrister Kaiser Kamal,158434
Netrakona 1,Bangladesh Khelafat Majlish (BKM),Golam Rabbani,87388
Netrakona 1,Communist Party of Bangladesh (CPB),Md. Alkas Uddin Mir,4429
Netrakona 1,Islami Andolan Bangladesh (IAB),Md. Abdul Mannan (Sohag),2220
Netrakona 1,Jatiya Party (JaPa),Md. Anwar Hossain Khan,1023
Netrakona 1,Jatiya Samajtantrik Dal (JSD),Md. Belal Hossain,335
Netrakona 2,Bangladesh Nationalist Party (BNP),Md. Anwarul Haque,171399
Netrakona 2,National Citizen Party (NCP),Md. Fahim Rahman Khan Pathan,67367
Netrakona 2,Islami Andolan Bangladesh (IAB),Abdul Qayyum,15220
Netrakona 2,Jatiya Party (JaPa),A. B. M. Rafiqul Haque Talukder,4845
Netrakona 2,Bangladesh Khelafat Andolon (BKA),Abdur Rahim,2020
Netrakona 3,Bangladesh Nationalist Party (BNP),Rafiqul Islam Hilali,118469
Netrakona 3,Independent Candidate (Independent),Md. Delwar Hossain Bhuiyan,68961
Netrakona 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Khairul Kabir Niyogi,41556
Netrakona 3,Islami Andolan Bangladesh (IAB),Md. Zakir Hossain,2760
Netrakona 3,Jatiya Party (JaPa),Md. Abul Hossain Talukder,574
Netrakona 3,Islamic Front Bangladesh (IFB),Md. Shamchuddoha,358
Netrakona 4,Bangladesh Nationalist Party (BNP),Md. Lutfuzzaman Babar,160224
Netrakona 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Al-Helal,39840
Netrakona 4,Communist Party of Bangladesh (CPB),Jolly Talukder,3359
Netrakona 4,Islami Andolan Bangladesh (IAB),Md. Mokhlesur Rahman,2025
Netrakona 4,Revolutionary Workers Party of Bangladesh (RWPB),Champa Rani Sarkar,282
Netrakona 5,Bangladesh Jamaat-e-Islami (Jamaat),Masum Mustafa,82177
Netrakona 5,Bangladesh Nationalist Party (BNP),Md. Abu Taher Talukder,79412
Netrakona 5,Islami Andolan Bangladesh (IAB),Md. Nurul Islam,8341
Sunamganj 1,Bangladesh Nationalist Party (BNP),Kamruzzaman Kamrul,161774
Sunamganj 1,Bangladesh Jamaat-e-Islami (Jamaat),Tofayel Ahmed,92966
Sunamganj 1,Bangladesh Nezam-e-Islam Party,Maulana Mujammil Haque Talukder,1184
Sunamganj 2,Bangladesh Nationalist Party (BNP),Md. Nasir Chowdhury,99522
Sunamganj 2,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Shishir Monir,63220
Sunamganj 2,Communist Party of Bangladesh (CPB),Niranjan Das,1232
Sunamganj 3,Bangladesh Nationalist Party (BNP),Mohammad Qaisar Ahmed,97313
Sunamganj 3,Independent Candidate (Independent),Md. Anwar Hossain,42226
Sunamganj 3,Bangladesh Khelafat Majlish (BKM),Mohammad Shahinur Pasha Chowdhury,14203
Sunamganj 3,Amar Bangladesh Party (AB),Syed Talha Alam,4937
Sunamganj 3,Khelafat Majlis,Sheikh Mushtaq Ahmed,858
Sunamganj 3,Independent Candidate (Independent),Md. Mahfuzur Rahman Khaled (Tushar),237
Sunamganj 3,Independent Candidate (Independent),Hussain Ahmed,177
Sunamganj 4,Bangladesh Nationalist Party (BNP),Nurul Islam,98092
Sunamganj 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shams Uddin,75735
Sunamganj 4,Independent Candidate (Independent),Dewan Zainul Zakerin,26307
Sunamganj 4,Islami Andolan Bangladesh (IAB),Shahidul Islam,1935
Sunamganj 4,Jatiya Party (JaPa),Md. Nazmul Huda,1789
Sunamganj 5,Bangladesh Nationalist Party (BNP),Kalim Uddin Ahmed,151915
Sunamganj 5,Bangladesh Jamaat-e-Islami (Jamaat),Abu Tahir Muhammad Abdus Salam,102121
Sunamganj 5,Khelafat Majlis,Mohammad Abdul Qadir,2278
Sunamganj 5,Jatiya Party (JaPa),Mohammad Jahangir Alam,1524
Sunamganj 5,National People's Party (NPP),Md. Azizul Haque,433
Sylhet 1,Bangladesh Nationalist Party (BNP),Khandaker Abdul Muqtadir,176936
Sylhet 1,Islami Andolan Bangladesh (IAB),Mahmudul Hasan,134983
Sylhet 1,Bangladesh Jamaat-e-Islami (Jamaat),Maulana Habibur Rahman,474
Sylhet 1,Gono Odhikar Parishad (GOP),Akmal Hossain,0
Sylhet 1,Bangladesh Socialist Party (BASAD),Pronob Jyoti Pal,0
Sylhet 1,Insaniyat Biplob Bangladesh,Md. Shamim Mia,0
Sylhet 1,Communist Party of Bangladesh (CPB),Mohammad Anwar Hossain,0
Sylhet 1,Bangladesh Socialist Party (Marxist),Sanjoy Kanta Das,0
Sylhet 2,Bangladesh Nationalist Party (BNP),Mosammat Tahsina Rushdi,116697
Sylhet 2,Khelafat Majlis,Muhammad Muntasir Ali,37446
Sylhet 2,Jatiya Party (JaPa),Mahbubur Rahman Chowdhury,0
Sylhet 2,Islami Andolan Bangladesh (IAB),Md. Amir Uddin,0
Sylhet 2,Gono Forum (GF),Md. Mujibul Haque,0
Sylhet 3,Bangladesh Nationalist Party (BNP),Mohammad Abdul Malik,114255
Sylhet 3,Bangladesh Khelafat Majlish (BKM),Mosleh Uddin Raju,76614
Sylhet 3,Islami Andolan Bangladesh (IAB),Redwanul Haque Chowdhury,76614
Sylhet 3,Independent Candidate (Independent),Moinul Bokor,0
Sylhet 3,Independent Candidate (Independent),Mostakim Raja Chowdhury,0
Sylhet 3,Jatiya Party (JaPa),Mohammad Atikur Rahman,0
Sylhet 4,Bangladesh Nationalist Party (BNP),Ariful Haque Chowdhury,181609
Sylhet 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Zainal Abedin,65776
Sylhet 4,Gono Odhikar Parishad (GOP),Jahirul Islam,10
Sylhet 4,Islami Andolan Bangladesh (IAB),Maulana Said Ahmed,0
Sylhet 4,Jatiya Party (JaPa),Mohammad Mujibur Rahman,0
Sylhet 5,Khelafat Majlis,Mohammad Abul Hasan,79355
Sylhet 5,Jamiat Ulema-e-Islam Bangladesh,Ubaidullah Faruk,69774
Sylhet 5,Independent Candidate (Independent),Mamunur Rashid,0
Sylhet 5,Bangladesh Muslim League (BML),Md. Bilal Uddin,0
Sylhet 6,Bangladesh Nationalist Party (BNP),Emran Ahmed Chowdhury,108612
Sylhet 6,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Selim Uddin,1343
Sylhet 6,Gono Odhikar Parishad (GOP),Zahidur Rahman,0
Sylhet 6,Independent Candidate (Independent),Md. Fakhrul Islam,0
Sylhet 6,Jatiya Party (JaPa),Mohammad Abdun Noor,0
Moulvibazar 1,Bangladesh Nationalist Party (BNP),Nasir Uddin Ahmed,98277
Moulvibazar 1,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Aminul Islam,78214
Moulvibazar 1,Jatiya Party (JaPa),Ahmed Riaz Uddin,0
Moulvibazar 1,Independent Candidate (Independent),Belal Ahmed,0
Moulvibazar 1,Gono Odhikar Parishad (GOP),Md. Abdun Noor,0
Moulvibazar 1,Gono Front,Md. Shariful Islam,0
Moulvibazar 2,Bangladesh Nationalist Party (BNP),Md. Shawkatul Islam,66707
Moulvibazar 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Sayeed Ali,50598
Moulvibazar 2,Islami Andolan Bangladesh (IAB),Abdul Quddus,0
Moulvibazar 2,Independent Candidate (Independent),M. Jamiur Rahman Chowdhury,0
Moulvibazar 2,Independent Candidate (Independent),Nawab Ali Abbas Khan,0
Moulvibazar 2,Jatiya Party (JaPa),Md. Abdul Malik,0
Moulvibazar 2,Independent Candidate (Independent),Md. Fazlul Haque Khan,0
Moulvibazar 2,Bangladesh Socialist Party (Marxist),Sadia Noshin Tasnim Chowdhury,0
Moulvibazar 3,Bangladesh Nationalist Party (BNP),Naser Rahman,154545
Moulvibazar 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Mannan,74362
Moulvibazar 3,Khelafat Majlis,Ahmad Bilal,1361
Moulvibazar 3,Communist Party of Bangladesh (CPB),Jahar Lal Dutta,0
Moulvibazar 4,Bangladesh Nationalist Party (BNP),Md. Mujibur Rahman Chowdhury,168958
Moulvibazar 4,Bangladesh Khelafat Majlish (BKM),Sheikh Nure Alam Hamidi,49389
Moulvibazar 4,Independent Candidate (Independent),Md. Mohsin Mia,33911
Moulvibazar 4,National Citizen Party (NCP),Pritam Das,71
Moulvibazar 4,Bangladesh Socialist Party (BASAD),Md. Abul Hasan,0
Moulvibazar 4,Jatiya Party (JaPa),Mohammad Zarif Hossain,0
Habiganj 1,Bangladesh Nationalist Party (BNP),Reza Kibria,111999
Habiganj 1,Bangladesh Khelafat Majlish (BKM),Maulana Sirajul Islam,56132
Habiganj 1,Independent Candidate (Independent),Sheikh Sujat Mia,34637
Habiganj 1,Islamic Front Bangladesh (IFB),Mohammad Badrur Reza,5272
Habiganj 1,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Kazi Tofayel Ahmed,644
Habiganj 2,Bangladesh Nationalist Party (BNP),Abu Mansur Sakhawat Hasan,126583
Habiganj 2,Khelafat Majlis,Abdul Basit Azad,65762
Habiganj 2,Independent Candidate (Independent),Afsar Ahmed,1843
Habiganj 2,Jatiya Party (JaPa),Abdul Muqtadir Chowdhury,941
Habiganj 2,Bangladesh Socialist Party (BASAD),Luqman Ahmed Talukder,448
Habiganj 3,Bangladesh Nationalist Party (BNP),Alhaj Md. G. K. Gaus,142348
Habiganj 3,Bangladesh Jamaat-e-Islami (Jamaat),Kazi Mohsin Ahmed,45568
Habiganj 3,Bangladesh Islami Front,S. M. Sarwar,14133
Habiganj 3,Islami Andolan Bangladesh (IAB),Mohib Uddin Ahmed Sohel,5443
Habiganj 3,Jatiya Party (JaPa),Abdul Mumin Chowdhury,1259
Habiganj 3,Bangladesh Cultural Liberation Front (Muktijot),Md. Shahinur Rahman,132
Habiganj 4,Bangladesh Nationalist Party (BNP),S. M. Faisal,188072
Habiganj 4,Bangladesh Islami Front,Md. Gias Uddin,84323
Habiganj 4,Khelafat Majlis,Ahmed Abdul Qader,26466
Habiganj 4,Independent Candidate (Independent),Md. Mizanur Rahman Chowdhury,652
Habiganj 4,Independent Candidate (Independent),Saleh Ahmed Sajan,619
Habiganj 4,Bangladesh Muslim League (BML),Shah Md. Al Amin,536
Habiganj 4,Insaniyat Biplob Bangladesh,Md. Rezaul Mostafa,484
Habiganj 4,Bangladesh Cultural Liberation Front (Muktijot),Md. Rashedul Islam Khokon,484
Habiganj 4,Bangladesh Socialist Party (BASAD),Md. Mujibur Rahman,329
