seat,ec_id,ec_valid,our_tvc,our_known,tvc_diff,known_diff,ec_ncand,our_ncand,ec_winner_party,ec_winner_votes,our_winner,our_winner_votes,winner_vote_diff
Sylhet 3,231,196259,267483,268678,71224,72419,6,6,Bangladesh Nationalist Party - BNP,114255,Mohammad Abdul Malik,115450,1195
Sylhet 4,232,260479,258237,258247,-2242,-2232,5,5,Bangladesh Nationalist Party - BNP,185703,Ariful Haque Chowdhury,186846,1143
Sylhet 5,233,201933,149129,149129,-52804,-52804,4,4,Khelafat Majlis,76221,Mohammad Abul Hasan,79355,3134
Sylhet 6,234,232519,211486,211486,-21033,-21033,5,5,Bangladesh Nationalist Party - BNP,108612,Emran Ahmad Chowdhury,109917,1305
Moulvibazar 1,235,185256,181295,181295,-3961,-3961,6,6,Bangladesh Nationalist Party - BNP,97534,Nasir Uddin Ahmed,98282,748
Moulvibazar 2,236,161450,141839,141839,-19611,-19611,8,8,Bangladesh Nationalist Party - BNP,67721,Md. Shawkatul Islam,88381,20660
Moulvibazar 3,237,236699,234393,235754,-2306,-945,4,4,Bangladesh Nationalist Party - BNP,155342,Nasser Rahman,156757,1415
Moulvibazar 4,238,258872,252329,255063,-6543,-3809,6,6,Bangladesh Nationalist Party - BNP,169608,Md. Mujibur Rahman Chowdhury,170877,1269
Habiganj 1,239,206663,208684,208684,2021,2021,5,5,Bangladesh Nationalist Party - BNP,111073,Reza Kibria,111999,926
Habiganj 2,240,194023,195577,195577,1554,1554,5,5,Bangladesh Nationalist Party - BNP,125971,Abu Mansoor Sakhawat Hasan,126583,612
Habiganj 3,241,206953,208883,208883,1930,1930,6,6,Bangladesh Nationalist Party - BNP,141521,Alhaj Md. G. K. Gouch,142348,827
Habiganj 4,242,299070,301965,301965,2895,2895,9,9,Bangladesh Nationalist Party - BNP,186678,S. M. Faisal,188072,1394
Cumilla 1,249,239274,244890,244890,5616,5616,9,9,Bangladesh Nationalist Party - BNP,140305,Dr. Khandaker Mosharraf Hossain,141440,1135
Cumilla 2,250,196576,201414,201414,4838,4838,6,6,Bangladesh Nationalist Party - BNP,76268,Md. Selim Bhuiyan,77037,769
Cumilla 3,251,267807,274507,274507,6700,6700,9,9,Bangladesh Nationalist Party - BNP,157800,Qazi Shah Mofazzal Hossain (Kaikobad),159291,1491
Cumilla 4,252,213015,219375,219375,6360,6360,5,5,National Citizens Party - NCP,160527,Md. Abul Hasnat,166583,6056
Cumilla 5,253,255743,264184,264224,8441,8481,10,10,Bangladesh Nationalist Party - BNP,132538,Md. Jashim Uddin,134485,1947
Cumilla 6,254,323747,330017,331614,6270,7867,9,9,Bangladesh Nationalist Party - BNP,199541,Md. Monirul Haque Chowdhury,201706,2165
Cumilla 7,255,177680,181056,181056,3376,3376,5,5,Independent,90819,Atiqul Alam,91690,871
Cumilla 8,256,215463,221093,221096,5630,5633,8,8,Bangladesh Nationalist Party - BNP,167431,Zakaria Taher,169178,1747
Cumilla 9,257,294916,302665,302665,7749,7749,8,8,Bangladesh Nationalist Party - BNP,168108,Md. Abul Kalam,170008,1900
Cumilla 10,258,287110,296747,296747,9637,9637,7,7,Bangladesh Nationalist Party - BNP,161847,Md. Mobasher Alam Bhuiyan,163667,1820
Cumilla 11,259,213894,213894,213894,0,0,7,7,Bangladesh Jamaat-e-Islami,133308,Syed Abdullah Mohammed Taher,133308,0
