seat_name,candidate,party,votes,num_sources,sources,vote_details,comment
Brahmanbaria 1,Md. Habibur Rahman,Independent Candidate (Independent),106,3,"ds,dt,tbs",ds=106; dt=106; tbs=106,
Brahmanbaria 2,Rumin Farhana,Independent Candidate (Independent),118547,4,"bss,ds,dt,tbs",bss=118547; ds=118547; dt=118547; tbs=118547,
Brahmanbaria 2,Mohammad Junayed Al Habib,Jamiat Ulema-e-Islam Bangladesh (JUIB),80434,4,"bss,ds,dt,tbs",bss=80434; ds=80434; dt=80434; tbs=80434,
Brahmanbaria 2,Ashraf Uddin,National Citizen Party (NCP),20401,3,"ds,dt,tbs",ds=0; dt=20401; tbs=20401,
Brahmanbaria 2,S. N. Tarun Dey,Independent Candidate (Independent),12560,3,"ds,dt,tbs",ds=0; dt=12560; tbs=12560,
Brahmanbaria 2,Nesar Ahmed,Islami Andolan Bangladesh (IAB),3851,3,"ds,dt,tbs",ds=0; dt=3851; tbs=3851,
Brahmanbaria 2,Md. Main Uddin,Insaniyat Biplob Bangladesh (IBB),1419,3,"ds,dt,tbs",ds=0; dt=1419; tbs=1419,
Brahmanbaria 2,Taimur Reza Md. Shahjad,Jatiya Samajtantrik Dal (JSD),384,3,"ds,dt,tbs",ds=0; dt=0; tbs=384,
Brahmanbaria 2,Adv. Md. Ziaul Haque Mridha,Jatiya Party (JaPa),199,3,"ds,dt,tbs",ds=0; dt=199; tbs=199,
Brahmanbaria 2,Sharifa Akhter,Amjanatar Dol,181,3,"ds,dt,tbs",ds=0; dt=181; tbs=181,
Brahmanbaria 3,Md. Khaled Hossain Mahbub,Bangladesh Nationalist Party (BNP),209636,4,"bss,ds,dt,tbs",bss=209636; ds=209636; dt=209636; tbs=209636,
Brahmanbaria 3,Ataullah,National Citizen Party (NCP),62547,4,"bss,ds,dt,tbs",bss=62547; ds=62547; dt=62547; tbs=62547,
Brahmanbaria 3,Niazul Karim,Islami Andolan Bangladesh (IAB),6321,3,"ds,dt,tbs",ds=0; dt=6321; tbs=6231,
Brahmanbaria 3,Md. Rezaul Islam Bhuiyan,Jatiya Party (JaPa),3891,3,"ds,dt,tbs",ds=0; dt=3891; tbs=3891,
Brahmanbaria 3,Md. Abu Hanif,Insaniyat Biplob Bangladesh (IBB),3345,3,"ds,dt,tbs",ds=0; dt=3345; tbs=3345,
Brahmanbaria 3,Ayesha Akhter,Bangladesh Islami Front (BIF),1344,3,"ds,dt,tbs",ds=0; dt=1344; tbs=1344,
Brahmanbaria 3,Md. Omar Yousuf Khan,Independent Candidate (Independent),278,3,"ds,dt,tbs",ds=0; dt=278; tbs=278,
Brahmanbaria 4,Mushfiqur Rahman,Bangladesh Nationalist Party (BNP),139842,4,"bss,ds,dt,tbs",bss=139842; ds=139842; dt=139842; tbs=139842,
Brahmanbaria 4,Md. Ataur Rahman Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),91796,4,"bss,ds,dt,tbs",bss=91796; ds=91796; dt=91796; tbs=91796,
Brahmanbaria 4,Md. Zahirul Haque Khan,Jatiya Party (JaPa),2453,3,"ds,dt,tbs",ds=0; dt=2453; tbs=2453,
Brahmanbaria 4,Md. Jasim,Islami Andolan Bangladesh (IAB),2277,3,"ds,dt,tbs",ds=0; dt=2277; tbs=2277,
Brahmanbaria 4,Rafi Uddin,Insaniyat Biplob Bangladesh (IBB),773,3,"ds,dt,tbs",ds=0; dt=773; tbs=773,
Brahmanbaria 4,Md. Zahirul Haque Chowdhury,Gono Odhikar Parishad (GOP),117,3,"ds,dt,tbs",ds=0; dt=117; tbs=117,
Brahmanbaria 4,Shaheen Khan,National People's Party (NPP),109,3,"ds,dt,tbs",ds=0; dt=109; tbs=109,
Brahmanbaria 5,Md. Abdul Mannan,Bangladesh Nationalist Party (BNP),85769,4,"bss,ds,dt,tbs",bss=85769; ds=85769; dt=85769; tbs=85769,
Brahmanbaria 5,Kazi Nazmul Hossain,Independent Candidate (Independent),84708,4,"bss,ds,dt,tbs",bss=84708; ds=84708; dt=84708; tbs=84708,
Brahmanbaria 5,Amzad Hossain,Khelafat Majlis,60857,3,"ds,dt,tbs",ds=0; dt=60857; tbs=60857,
Brahmanbaria 5,Nazrul Islam,Islami Andolan Bangladesh (IAB),20696,3,"ds,dt,tbs",ds=0; dt=20696; tbs=20696,
Brahmanbaria 5,Mohammad Kamrul Islam,Jatiya Party (JaPa),372,3,"ds,dt,tbs",ds=0; dt=372; tbs=372,
Brahmanbaria 5,Md. Shaheen Khan,Communist Party of Bangladesh (CPB),359,3,"ds,dt,tbs",ds=0; dt=359; tbs=359,
Brahmanbaria 5,Nahida Jahan,Ganosanhati Andolan (GSA),266,3,"ds,dt,tbs",ds=0; dt=266; tbs=266,
Brahmanbaria 5,Mohammad Ashraful Haque,Insaniyat Biplob Bangladesh (IBB),257,3,"ds,dt,tbs",ds=0; dt=257; tbs=257,
Brahmanbaria 6,Md. Jonayed Abdur Rahim Shaki,Ganosanhati Andolan (GSA),95342,4,"bss,ds,dt,tbs",bss=95342; ds=95342; dt=95342; tbs=95342,
